"","num.tech.reps","population","study","gender"
"NA18486",2,"YRI","Pickrell","male"
"NA18498",2,"YRI","Pickrell","male"
"NA18499",2,"YRI","Pickrell","female"
"NA18501",2,"YRI","Pickrell","male"
"NA18502",2,"YRI","Pickrell","female"
"NA18504",2,"YRI","Pickrell","male"
"NA18505",2,"YRI","Pickrell","female"
"NA18507",2,"YRI","Pickrell","male"
"NA18508",2,"YRI","Pickrell","female"
"NA18510",2,"YRI","Pickrell","male"
"NA18511",2,"YRI","Pickrell","female"
"NA18516",2,"YRI","Pickrell","male"
"NA18517",2,"YRI","Pickrell","female"
"NA18519",2,"YRI","Pickrell","male"
"NA18520",2,"YRI","Pickrell","female"
"NA18522",2,"YRI","Pickrell","male"
"NA18523",2,"YRI","Pickrell","female"
"NA18852",2,"YRI","Pickrell","female"
"NA18853",2,"YRI","Pickrell","male"
"NA18855",2,"YRI","Pickrell","female"
"NA18856",2,"YRI","Pickrell","male"
"NA18858",2,"YRI","Pickrell","female"
"NA18861",2,"YRI","Pickrell","female"
"NA18862",2,"YRI","Pickrell","male"
"NA18870",2,"YRI","Pickrell","female"
"NA18871",2,"YRI","Pickrell","male"
"NA18909",2,"YRI","Pickrell","female"
"NA18912",2,"YRI","Pickrell","female"
"NA18913",2,"YRI","Pickrell","male"
"NA18916",2,"YRI","Pickrell","female"
"NA19093",2,"YRI","Pickrell","female"
"NA19098",2,"YRI","Pickrell","male"
"NA19099",2,"YRI","Pickrell","female"
"NA19101",2,"YRI","Pickrell","male"
"NA19102",2,"YRI","Pickrell","female"
"NA19108",2,"YRI","Pickrell","female"
"NA19114",2,"YRI","Pickrell","female"
"NA19116",2,"YRI","Pickrell","female"
"NA19119",2,"YRI","Pickrell","male"
"NA19127",2,"YRI","Pickrell","female"
"NA19128",2,"YRI","Pickrell","male"
"NA19130",2,"YRI","Pickrell","male"
"NA19131",2,"YRI","Pickrell","female"
"NA19137",2,"YRI","Pickrell","female"
"NA19138",2,"YRI","Pickrell","male"
"NA19140",2,"YRI","Pickrell","female"
"NA19143",2,"YRI","Pickrell","female"
"NA19144",2,"YRI","Pickrell","male"
"NA19147",2,"YRI","Pickrell","female"
"NA19152",2,"YRI","Pickrell","female"
"NA19153",2,"YRI","Pickrell","male"
"NA19159",2,"YRI","Pickrell","female"
"NA19160",2,"YRI","Pickrell","male"
"NA19171",2,"YRI","Pickrell","male"
"NA19172",2,"YRI","Pickrell","female"
"NA19190",2,"YRI","Pickrell","female"
"NA19192",2,"YRI","Pickrell","male"
"NA19193",2,"YRI","Pickrell","female"
"NA19200",2,"YRI","Pickrell","male"
"NA19201",2,"YRI","Pickrell","female"
"NA19203",2,"YRI","Pickrell","male"
"NA19204",2,"YRI","Pickrell","female"
"NA19209",2,"YRI","Pickrell","female"
"NA19210",2,"YRI","Pickrell","male"
"NA19222",2,"YRI","Pickrell","female"
"NA19225",2,"YRI","Pickrell","female"
"NA19238",2,"YRI","Pickrell","female"
"NA19239",2,"YRI","Pickrell","male"
"NA19257",2,"YRI","Pickrell","female"
